Hours,dni,dhi,ghi,wind_speed,temp_air
2403.5,0.951667,0.486667,0,4.46,2.95167
2404.5,1.30833,0.321667,0,3.46667,2.91667
2405.5,1.24333,0.408333,0,4.12167,2.85667
2406.5,1.24,0.406667,0,4.23167,2.54667
2407.5,1.74667,0.28,0,3.57333,2.47333
2408.5,1.765,0.265,0,3.50167,2.49333
2409.5,1.34667,0.216667,0,3.08833,2.37667
2410.5,1.85167,2.05,0.903333,3.73333,2.20167
2411.5,28.6617,59.3967,61.1667,3.60667,2.14667
2412.5,83.7933,180.03,199.512,4.42333,2.91667
2413.5,15.9667,255.038,259.342,5.08,3.32333
2414.5,14.6367,301.75,308.953,4.785,3.66333
2415.5,113.64,369.907,458.452,4.21167,4.45667
2416.5,188.138,300.663,461.038,4.31833,5.33
2417.5,103.5,216.815,321.262,2.84667,3.365
2418.5,244.132,340.847,554.48,3.325,4.815
2419.5,313.157,346.962,578.525,5.01167,6.91
2420.5,36.0583,139.472,161.013,3.61167,4.97333
2421.5,166.278,170.157,250.325,2.85167,5.44333
2422.5,40.4,98.7933,108.082,3.27333,5.48
2423.5,2.19167,14.03,11.7183,2.23,4.785
2424.5,1.24333,0.318333,0,1.695,3.31
